execucao_em,marca,etapa,rotulo_etapa,total,autonomos,score
2026-09-23T15:00:45.645381+00:00,Alpha Moda,agendamento_coleta,Agendamento da coleta,66,62,93.9
2026-09-23T15:00:45.645381+00:00,Alpha Moda,atualizacao_status,Atualização do status,80,77,96.2
2026-09-23T15:00:45.645381+00:00,Alpha Moda,recebimento_po,Recebimento/confirmação do PO,93,87,93.5
2026-09-23T15:00:45.645381+00:00,Alpha Moda,upload_nf,Upload da nota fiscal,72,68,94.4
2026-09-23T15:00:45.645381+00:00,Bravo Casa,agendamento_coleta,Agendamento da coleta,55,47,85.5
2026-09-23T15:00:45.645381+00:00,Bravo Casa,atualizacao_status,Atualização do status,80,63,78.8
2026-09-23T15:00:45.645381+00:00,Bravo Casa,recebimento_po,Recebimento/confirmação do PO,92,75,81.5
2026-09-23T15:00:45.645381+00:00,Bravo Casa,upload_nf,Upload da nota fiscal,69,58,84.1
2026-09-23T15:00:45.645381+00:00,Cedro Kids,agendamento_coleta,Agendamento da coleta,54,31,57.4
2026-09-23T15:00:45.645381+00:00,Cedro Kids,atualizacao_status,Atualização do status,68,43,63.2
2026-09-23T15:00:45.645381+00:00,Cedro Kids,recebimento_po,Recebimento/confirmação do PO,75,48,64.0
2026-09-23T15:00:45.645381+00:00,Cedro Kids,upload_nf,Upload da nota fiscal,62,35,56.5
2026-09-23T15:00:45.645381+00:00,Delta Sports,agendamento_coleta,Agendamento da coleta,64,26,40.6
2026-09-23T15:00:45.645381+00:00,Delta Sports,atualizacao_status,Atualização do status,80,39,48.8
2026-09-23T15:00:45.645381+00:00,Delta Sports,recebimento_po,Recebimento/confirmação do PO,90,42,46.7
2026-09-23T15:00:45.645381+00:00,Delta Sports,upload_nf,Upload da nota fiscal,71,32,45.1
2026-09-23T15:00:45.645381+00:00,Eterna Beleza,agendamento_coleta,Agendamento da coleta,53,18,34.0
2026-09-23T15:00:45.645381+00:00,Eterna Beleza,atualizacao_status,Atualização do status,67,12,17.9
2026-09-23T15:00:45.645381+00:00,Eterna Beleza,recebimento_po,Recebimento/confirmação do PO,80,20,25.0
2026-09-23T15:00:45.645381+00:00,Eterna Beleza,upload_nf,Upload da nota fiscal,59,14,23.7
2026-09-23T15:00:45.645381+00:00,Fluxo Denim,agendamento_coleta,Agendamento da coleta,61,45,73.8
2026-09-23T15:00:45.645381+00:00,Fluxo Denim,atualizacao_status,Atualização do status,78,57,73.1
2026-09-23T15:00:45.645381+00:00,Fluxo Denim,recebimento_po,Recebimento/confirmação do PO,87,70,80.5
2026-09-23T15:00:45.645381+00:00,Fluxo Denim,upload_nf,Upload da nota fiscal,69,48,69.6
2026-09-24T11:04:35.996357+00:00,Alpha Moda,agendamento_coleta,Agendamento da coleta,65,61,93.8
2026-09-24T11:04:35.996357+00:00,Alpha Moda,atualizacao_status,Atualização do status,82,81,98.8
2026-09-24T11:04:35.996357+00:00,Alpha Moda,recebimento_po,Recebimento/confirmação do PO,95,90,94.7
2026-09-24T11:04:35.996357+00:00,Alpha Moda,upload_nf,Upload da nota fiscal,71,67,94.4
2026-09-24T11:04:35.996357+00:00,Bravo Casa,agendamento_coleta,Agendamento da coleta,58,50,86.2
2026-09-24T11:04:35.996357+00:00,Bravo Casa,atualizacao_status,Atualização do status,77,62,80.5
2026-09-24T11:04:35.996357+00:00,Bravo Casa,recebimento_po,Recebimento/confirmação do PO,88,68,77.3
2026-09-24T11:04:35.996357+00:00,Bravo Casa,upload_nf,Upload da nota fiscal,67,55,82.1
2026-09-24T11:04:35.996357+00:00,Cedro Kids,agendamento_coleta,Agendamento da coleta,54,29,53.7
2026-09-24T11:04:35.996357+00:00,Cedro Kids,atualizacao_status,Atualização do status,68,45,66.2
2026-09-24T11:04:35.996357+00:00,Cedro Kids,recebimento_po,Recebimento/confirmação do PO,77,46,59.7
2026-09-24T11:04:35.996357+00:00,Cedro Kids,upload_nf,Upload da nota fiscal,62,36,58.1
2026-09-24T11:04:35.996357+00:00,Delta Sports,agendamento_coleta,Agendamento da coleta,59,24,40.7
2026-09-24T11:04:35.996357+00:00,Delta Sports,atualizacao_status,Atualização do status,74,38,51.4
2026-09-24T11:04:35.996357+00:00,Delta Sports,recebimento_po,Recebimento/confirmação do PO,84,36,42.9
2026-09-24T11:04:35.996357+00:00,Delta Sports,upload_nf,Upload da nota fiscal,67,31,46.3
2026-09-24T11:04:35.996357+00:00,Eterna Beleza,agendamento_coleta,Agendamento da coleta,55,19,34.5
2026-09-24T11:04:35.996357+00:00,Eterna Beleza,atualizacao_status,Atualização do status,69,13,18.8
2026-09-24T11:04:35.996357+00:00,Eterna Beleza,recebimento_po,Recebimento/confirmação do PO,82,19,23.2
2026-09-24T11:04:35.996357+00:00,Eterna Beleza,upload_nf,Upload da nota fiscal,60,15,25.0
2026-09-24T11:04:35.996357+00:00,Fluxo Denim,agendamento_coleta,Agendamento da coleta,61,44,72.1
2026-09-24T11:04:35.996357+00:00,Fluxo Denim,atualizacao_status,Atualização do status,78,55,70.5
2026-09-24T11:04:35.996357+00:00,Fluxo Denim,recebimento_po,Recebimento/confirmação do PO,89,69,77.5
2026-09-24T11:04:35.996357+00:00,Fluxo Denim,upload_nf,Upload da nota fiscal,69,48,69.6
2026-09-25T11:04:31.303316+00:00,Alpha Moda,agendamento_coleta,Agendamento da coleta,71,66,93.0
2026-09-25T11:04:31.303316+00:00,Alpha Moda,atualizacao_status,Atualização do status,87,86,98.9
2026-09-25T11:04:31.303316+00:00,Alpha Moda,recebimento_po,Recebimento/confirmação do PO,99,94,94.9
2026-09-25T11:04:31.303316+00:00,Alpha Moda,upload_nf,Upload da nota fiscal,77,73,94.8
2026-09-25T11:04:31.303316+00:00,Bravo Casa,agendamento_coleta,Agendamento da coleta,56,48,85.7
2026-09-25T11:04:31.303316+00:00,Bravo Casa,atualizacao_status,Atualização do status,73,58,79.5
2026-09-25T11:04:31.303316+00:00,Bravo Casa,recebimento_po,Recebimento/confirmação do PO,85,66,77.6
2026-09-25T11:04:31.303316+00:00,Bravo Casa,upload_nf,Upload da nota fiscal,64,50,78.1
2026-09-25T11:04:31.303316+00:00,Cedro Kids,agendamento_coleta,Agendamento da coleta,52,30,57.7
2026-09-25T11:04:31.303316+00:00,Cedro Kids,atualizacao_status,Atualização do status,65,42,64.6
2026-09-25T11:04:31.303316+00:00,Cedro Kids,recebimento_po,Recebimento/confirmação do PO,75,43,57.3
2026-09-25T11:04:31.303316+00:00,Cedro Kids,upload_nf,Upload da nota fiscal,59,33,55.9
2026-09-25T11:04:31.303316+00:00,Delta Sports,agendamento_coleta,Agendamento da coleta,60,23,38.3
2026-09-25T11:04:31.303316+00:00,Delta Sports,atualizacao_status,Atualização do status,77,44,57.1
2026-09-25T11:04:31.303316+00:00,Delta Sports,recebimento_po,Recebimento/confirmação do PO,85,35,41.2
2026-09-25T11:04:31.303316+00:00,Delta Sports,upload_nf,Upload da nota fiscal,69,33,47.8
2026-09-25T11:04:31.303316+00:00,Eterna Beleza,agendamento_coleta,Agendamento da coleta,54,17,31.5
2026-09-25T11:04:31.303316+00:00,Eterna Beleza,atualizacao_status,Atualização do status,69,14,20.3
2026-09-25T11:04:31.303316+00:00,Eterna Beleza,recebimento_po,Recebimento/confirmação do PO,83,20,24.1
2026-09-25T11:04:31.303316+00:00,Eterna Beleza,upload_nf,Upload da nota fiscal,59,13,22.0
2026-09-25T11:04:31.303316+00:00,Fluxo Denim,agendamento_coleta,Agendamento da coleta,62,45,72.6
2026-09-25T11:04:31.303316+00:00,Fluxo Denim,atualizacao_status,Atualização do status,76,55,72.4
2026-09-25T11:04:31.303316+00:00,Fluxo Denim,recebimento_po,Recebimento/confirmação do PO,88,66,75.0
2026-09-25T11:04:31.303316+00:00,Fluxo Denim,upload_nf,Upload da nota fiscal,72,48,66.7
2026-09-26T11:04:29.229747+00:00,Alpha Moda,agendamento_coleta,Agendamento da coleta,71,66,93.0
2026-09-26T11:04:29.229747+00:00,Alpha Moda,atualizacao_status,Atualização do status,85,84,98.8
2026-09-26T11:04:29.229747+00:00,Alpha Moda,recebimento_po,Recebimento/confirmação do PO,97,92,94.8
2026-09-26T11:04:29.229747+00:00,Alpha Moda,upload_nf,Upload da nota fiscal,77,73,94.8
2026-09-26T11:04:29.229747+00:00,Bravo Casa,agendamento_coleta,Agendamento da coleta,59,52,88.1
2026-09-26T11:04:29.229747+00:00,Bravo Casa,atualizacao_status,Atualização do status,75,60,80.0
2026-09-26T11:04:29.229747+00:00,Bravo Casa,recebimento_po,Recebimento/confirmação do PO,87,66,75.9
2026-09-26T11:04:29.229747+00:00,Bravo Casa,upload_nf,Upload da nota fiscal,66,51,77.3
